HPB10 HPB50 HPB100 HPB1000 HFB10 HFB50 HFB100 HFB1000
1868.8 2687.2 3033.8 4178.5 2150.2 3103 3505.5 4835.8
2492.5 3694.4 4203.1 5883.4 3014.6 4414.2 5006.2 6960.9
688.97 944.44 1052.1 1409.1 829.18 1107.9 1225.7 1615.2
737.41 1001.5 1112.9 1481.3 921.86 1227.2 1356.5 1782.5
667.47 899.98 998.12 1322.9 886.22 1160 1275.8 1658.6
1604.5 2136.8 2361.6 3104.7 2272.7 2945.1 3230 4169.2
558.69 753.58 835.83 1108.4 721.98 960.44 1061.1 1394.3
6272.7 8574.2 9550 12766 8224.9 11003 12175 16051
579.83 764.81 843.04 1101.6 730.33 952.05 1045.6 1355.3
313.45 466.28 530.74 744.23 414.81 609.9 692.22 964.95
2357.1 3283.8 3676 4971.2 2772.1 3925.4 4413.4 6024.8
2195.7 2941.7 3258.1 4300.1 2632.1 3642.7 4069.4 5479
3950.4 5234.2 5776.3 7568.8 4758 6489.1 7221.1 9638.5
3052 3927.5 4297.1 5519.6 3658.4 4837.9 5336 6982.7
2519.5 3404.8 3779.4 5016.1 2832.7 3911.4 4366.5 5873.5
